user_id,item_id,interaction_type,dwell_time_seconds,timestamp
U0112,I0051,view,235,2025-08-26 20:08:04
U0137,I0099,like,1195,2025-09-10 22:06:28
U0037,I0086,view,198,2025-09-01 03:52:26
U0231,I0118,view,31,2025-08-11 14:24:52
U0064,I0056,view,235,2025-07-14 16:53:58
U0133,I0113,like,125,2025-09-23 18:31:13
U0273,I0064,view,60,2025-09-04 08:07:03
U0276,I0008,view,433,2025-08-07 17:41:44
U0344,I0031,view,465,2025-07-13 23:34:41
U0097,I0002,like,939,2025-09-17 20:04:55
U0075,I0135,view,448,2025-08-21 09:05:41
U0105,I0078,view,651,2025-09-26 07:47:39
U0182,I0046,like,296,2025-09-03 04:38:51
U0301,I0107,view,390,2025-09-07 23:56:32
U0024,I0127,view,122,2025-07-30 20:57:14
U0277,I0130,view,109,2025-09-16 19:17:17
U0107,I0107,view,299,2025-08-04 19:42:38
U0092,I0002,view,612,2025-08-02 10:24:13
U0143,I0042,complete,413,2025-08-18 15:08:54
U0333,I0062,complete,382,2025-08-26 15:56:46
U0092,I0089,like,96,2025-07-21 18:24:13
U0166,I0065,view,130,2025-07-19 11:43:48
U0014,I0029,view,280,2025-08-24 21:37:33
U0059,I0064,like,141,2025-07-09 23:40:16
U0329,I0018,view,337,2025-09-28 20:20:32
U0004,I0019,complete,1394,2025-09-20 08:16:54
U0070,I0080,complete,393,2025-09-19 20:38:36
U0011,I0009,like,411,2025-07-22 20:20:32
U0052,I0077,view,182,2025-07-13 11:37:41
U0339,I0057,view,300,2025-08-09 18:42:48
U0166,I0095,view,168,2025-07-15 02:30:28
U0308,I0004,view,173,2025-09-29 12:55:59
U0224,I0013,complete,465,2025-09-30 03:26:40
U0324,I0098,view,466,2025-09-18 02:01:51
U0226,I0080,view,188,2025-09-18 23:31:31
U0325,I0068,view,59,2025-08-02 13:55:41
U0323,I0110,view,471,2025-09-15 22:36:07
U0217,I0106,view,105,2025-08-03 23:51:52
U0121,I0135,complete,934,2025-09-01 03:31:49
U0291,I0056,view,414,2025-08-05 03:48:20
U0140,I0003,like,876,2025-08-26 08:15:56
U0004,I0041,view,147,2025-09-18 18:58:20
U0340,I0066,view,171,2025-07-09 02:59:40
U0077,I0015,view,131,2025-09-09 04:13:57
U0184,I0114,view,176,2025-09-11 12:44:34
U0154,I0067,view,38,2025-09-09 21:01:25
U0092,I0049,view,462,2025-09-15 07:42:25
U0188,I0118,view,55,2025-07-08 13:55:33
U0146,I0093,view,334,2025-09-28 00:33:17
U0155,I0131,like,709,2025-07-14 10:35:40
U0262,I0136,complete,1028,2025-08-01 23:14:51
U0078,I0037,view,273,2025-08-21 01:21:22
U0322,I0045,complete,1621,2025-07-08 19:53:39
U0188,I0023,complete,1660,2025-08-04 00:23:37
U0105,I0056,like,479,2025-07-21 14:12:36
U0308,I0053,complete,192,2025-08-27 20:06:58
U0037,I0058,view,49,2025-09-06 12:28:21
U0344,I0124,complete,466,2025-08-22 06:20:37
U0036,I0127,view,192,2025-08-01 10:32:26
U0068,I0114,view,155,2025-07-12 02:13:42
U0007,I0054,view,145,2025-07-10 17:05:02
U0280,I0060,view,107,2025-07-06 04:04:18
U0212,I0097,view,59,2025-09-20 15:28:33
U0128,I0070,view,170,2025-07-29 09:00:21
U0135,I0073,view,344,2025-09-08 18:20:10
U0207,I0126,complete,566,2025-09-19 19:29:21
U0291,I0061,view,430,2025-08-31 17:57:51
U0288,I0133,like,856,2025-07-27 18:23:03
U0074,I0105,like,359,2025-09-14 23:04:53
U0231,I0105,view,199,2025-08-09 02:11:31
U0196,I0016,view,303,2025-07-06 03:09:53
U0044,I0024,like,931,2025-07-09 18:16:59
U0071,I0062,view,233,2025-07-28 19:21:11
U0169,I0003,view,752,2025-07-08 11:17:19
U0103,I0098,view,309,2025-09-07 09:14:12
U0089,I0021,view,522,2025-09-06 03:29:26
U0137,I0008,like,564,2025-08-10 14:37:01
U0055,I0057,view,639,2025-09-29 14:26:20
U0217,I0045,like,1226,2025-09-09 02:19:59
U0228,I0048,complete,811,2025-09-05 03:06:32
U0188,I0139,view,61,2025-08-28 02:42:10
U0336,I0053,view,18,2025-07-30 18:34:26
U0064,I0033,view,100,2025-09-11 21:13:06
U0038,I0139,view,61,2025-07-06 12:00:59
U0174,I0126,view,90,2025-09-23 15:52:02
U0237,I0032,view,384,2025-09-22 00:20:47
U0229,I0029,complete,661,2025-07-16 01:47:38
U0206,I0022,view,333,2025-09-13 19:56:57
U0192,I0046,view,269,2025-07-27 10:45:14
U0048,I0135,complete,838,2025-07-14 08:19:12
U0058,I0083,like,120,2025-08-15 21:21:47
U0077,I0039,like,302,2025-08-22 22:22:07
U0211,I0091,view,32,2025-09-30 13:09:48
U0158,I0024,complete,1413,2025-08-10 11:18:12
U0029,I0106,view,23,2025-09-12 14:53:10
U0191,I0085,view,78,2025-08-10 17:39:25
U0184,I0106,view,44,2025-08-06 15:27:29
U0342,I0012,view,688,2025-08-28 08:00:57
U0280,I0085,complete,393,2025-09-11 15:09:14
U0079,I0037,view,127,2025-08-05 19:00:24
U0102,I0116,view,522,2025-07-25 06:49:33
U0049,I0083,view,46,2025-07-21 06:02:56
U0113,I0127,view,91,2025-07-20 02:05:41
U0328,I0081,view,186,2025-07-16 01:25:47
U0258,I0112,view,40,2025-08-26 23:23:13
U0114,I0089,view,58,2025-09-17 02:25:24
U0337,I0029,like,391,2025-09-27 22:57:49
U0306,I0102,view,135,2025-08-14 10:01:15
U0190,I0132,view,469,2025-08-03 07:11:31
U0163,I0122,view,134,2025-09-15 09:21:03
U0268,I0074,like,1022,2025-09-18 02:34:45
U0220,I0097,view,83,2025-08-17 14:20:06
U0236,I0008,view,243,2025-07-16 06:46:59
U0236,I0041,view,104,2025-09-28 19:00:25
U0275,I0122,view,528,2025-09-02 19:50:02
U0215,I0004,view,600,2025-09-08 20:34:00
