contract_id,clause_text,clause_type,risk_label
C0001,This Agreement shall be governed by the laws of Nigeria.,Governing Law,no_risk
C0002,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0003,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0004,Rights are worldwide and exclusive.,Territory,risk
C0005,Rights shall revert to Artist if release does not occur within 18 months of delivery.,Reversion,no_risk
C0006,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0007,The Term shall continue for 2 years from the Effective Date.,Term,no_risk
C0008,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0009,Rights shall revert to Artist if release does not occur within 18 months of delivery.,Reversion,no_risk
C0010,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0011,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0012,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0013,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0014,Artist shall have the right to audit Company's books upon 10-day notice.,Audit Rights,no_risk
C0015,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0016,No audit rights are granted under this Agreement.,Audit Rights,risk
C0017,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0018,Rights shall revert to Artist if release does not occur within 12 months of delivery.,Reversion,no_risk
C0019,Rights are worldwide and exclusive.,Territory,risk
C0020,The parties submit to the exclusive jurisdiction of the courts of Kenya.,Governing Law,no_risk
C0021,No royalties are payable on promotional copies.,Royalties,no_risk
C0022,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0023,Licensee is granted rights in Worldwide on a non-exclusive basis.,Territory,no_risk
C0024,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0025,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0026,Artist shall have the right to audit Company's books upon 30-day notice.,Audit Rights,no_risk
C0027,This Agreement shall be governed by the laws of Kenya.,Governing Law,no_risk
C0028,This Agreement shall be governed by the laws of Kenya.,Governing Law,no_risk
C0029,Royalty rate on Net Receipts shall be 30% of net revenue.,Royalties,no_risk
C0030,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0031,This Agreement shall be governed by the laws of South Africa.,Governing Law,no_risk
C0032,Artist shall have the right to audit Company's books upon 15-day notice.,Audit Rights,no_risk
C0033,The initial term is 5 years with 2 options of 1 years each.,Term,no_risk
C0034,No royalties are payable on promotional copies.,Royalties,no_risk
C0035,No royalties are payable on promotional copies.,Royalties,no_risk
C0036,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0037,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0038,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0039,No reversion of rights is provided under this Agreement.,Reversion,risk
C0040,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0041,Artist shall have the right to audit Company's books upon 15-day notice.,Audit Rights,no_risk
C0042,No reversion of rights is provided under this Agreement.,Reversion,risk
C0043,The Term shall continue for 2 years from the Effective Date.,Term,no_risk
C0044,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0045,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0046,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0047,No reversion of rights is provided under this Agreement.,Reversion,risk
C0048,The Term shall continue for 10 years from the Effective Date.,Term,risk
C0049,Artist shall have the right to audit Company's books upon 30-day notice.,Audit Rights,no_risk
C0050,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0051,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0052,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0053,Rights shall revert to Artist if release does not occur within 9 months of delivery.,Reversion,no_risk
C0054,This Agreement shall be governed by the laws of England and Wales.,Governing Law,no_risk
C0055,Artist shall have the right to audit Company's books upon 90-day notice.,Audit Rights,no_risk
C0056,Rights shall revert to Artist if release does not occur within 18 months of delivery.,Reversion,no_risk
C0057,No audit rights are granted under this Agreement.,Audit Rights,risk
C0058,Licensee is granted rights in Worldwide on a non-exclusive basis.,Territory,no_risk
C0059,Royalty rate on Net Receipts shall be 15% of net revenue.,Royalties,risk
C0060,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0061,Rights are worldwide and exclusive.,Territory,risk
C0062,Rights are worldwide and exclusive.,Territory,risk
C0063,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0064,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0065,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0066,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0067,Rights shall revert to Artist if release does not occur within 9 months of delivery.,Reversion,no_risk
C0068,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0069,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0070,The Territory shall be Africa.,Territory,no_risk
C0071,Licensee is granted rights in Nigeria on a non-exclusive basis.,Territory,no_risk
C0072,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0073,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0074,The Term shall continue for 10 years from the Effective Date.,Term,risk
C0075,The Territory shall be Worldwide.,Territory,risk
C0076,Rights are worldwide and exclusive.,Territory,risk
C0077,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0078,No royalties are payable on promotional copies.,Royalties,no_risk
C0079,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0080,Artist shall receive a royalty of 25% of gross revenue.,Royalties,no_risk
C0081,Royalty rate on Net Receipts shall be 10% of net revenue.,Royalties,risk
C0082,The parties submit to the exclusive jurisdiction of the courts of New York.,Governing Law,no_risk
C0083,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0084,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0085,This Agreement shall be governed by the laws of Nigeria.,Governing Law,no_risk
C0086,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0087,The Territory shall be Africa.,Territory,no_risk
C0088,No royalties are payable on promotional copies.,Royalties,no_risk
C0089,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0090,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0091,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0092,Licensee is granted rights in Nigeria and Ghana on a non-exclusive basis.,Territory,no_risk
C0093,The Territory shall be Worldwide excluding USA.,Territory,risk
C0094,Rights shall revert to Artist if release does not occur within 3 months of delivery.,Reversion,no_risk
C0095,Royalty rate on Net Receipts shall be 25% of net revenue.,Royalties,no_risk
C0096,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0097,Artist shall receive a royalty of 5% of gross revenue.,Royalties,risk
C0098,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0099,The Term shall be for the life of copyright in the Recordings.,Term,risk
C0100,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0101,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0102,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0103,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0104,Artist shall have the right to audit Company's books upon 10-day notice.,Audit Rights,no_risk
C0105,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0106,Rights shall revert to Artist if release does not occur within 3 months of delivery.,Reversion,no_risk
C0107,Rights shall revert to Artist if release does not occur within 6 months of delivery.,Reversion,no_risk
C0108,Rights are worldwide and exclusive.,Territory,risk
C0109,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0110,Rights are worldwide and exclusive.,Territory,risk
C0111,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0112,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0113,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0114,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0115,Artist shall receive a royalty of 25% of gross revenue.,Royalties,no_risk
C0116,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0117,The parties submit to the exclusive jurisdiction of the courts of California.,Governing Law,no_risk
C0118,Artist shall have the right to audit Company's books upon 10-day notice.,Audit Rights,no_risk
C0119,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0120,Rights are worldwide and exclusive.,Territory,risk
C0121,No reversion of rights is provided under this Agreement.,Reversion,risk
C0122,Artist shall have the right to audit Company's books upon 15-day notice.,Audit Rights,no_risk
C0123,No audit rights are granted under this Agreement.,Audit Rights,risk
C0124,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0125,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0126,The parties submit to the exclusive jurisdiction of the courts of South Africa.,Governing Law,no_risk
C0127,The Territory shall be Worldwide.,Territory,risk
C0128,The Territory shall be Worldwide excluding USA.,Territory,risk
C0129,Rights shall revert to Artist if release does not occur within 9 months of delivery.,Reversion,no_risk
C0130,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0131,Artist shall have the right to audit Company's books upon 30-day notice.,Audit Rights,no_risk
C0132,No reversion of rights is provided under this Agreement.,Reversion,risk
C0133,The Term shall continue for 10 years from the Effective Date.,Term,risk
C0134,The Term shall continue for 3 years from the Effective Date.,Term,no_risk
